month,division_code,division_name,annual_rate,weight,weighted_contribution,mom_change
2026-Apr,04,"Housing, water, electricity, gas and other fuels",3.0,313.8,0.94,
2026-Mar,04,"Housing, water, electricity, gas and other fuels",4.3,313.8,1.35,1.3
2026-May,04,"Housing, water, electricity, gas and other fuels",2.7,313.8,0.85,-1.6
2026-Apr,06,Health,2.4,20.7,0.05,
2026-Mar,06,Health,3.1,20.7,0.06,0.7
2026-May,06,Health,2.4,20.7,0.05,-0.7
2026-Apr,12,Miscellaneous goods and services,2.6,75.0,0.2,
2026-Mar,12,Miscellaneous goods and services,2.5,75.0,0.19,-0.1
2026-May,12,Miscellaneous goods and services,2.4,75.0,0.18,-0.1
2026-Apr,07,Transport,4.5,111.4,0.5,
2026-Mar,07,Transport,4.7,111.4,0.52,0.2
2026-May,07,Transport,6.8,111.4,0.76,2.1
2026-Apr,08,Communication,4.5,19.2,0.09,
2026-Mar,08,Communication,4.1,19.2,0.08,-0.4
2026-May,08,Communication,5.1,19.2,0.1,1.0
2026-Apr,09,Recreation and culture,1.7,120.2,0.2,
2026-Mar,09,Recreation and culture,2.8,120.2,0.34,1.1
2026-May,09,Recreation and culture,1.5,120.2,0.18,-1.3
2026-Apr,02,Alcoholic beverages and tobacco,2.8,29.4,0.08,
2026-Mar,02,Alcoholic beverages and tobacco,3.3,29.4,0.1,0.5
2026-May,02,Alcoholic beverages and tobacco,2.4,29.4,0.07,-0.9
2026-Apr,03,Clothing and footwear,0.7,44.8,0.03,
2026-Mar,03,Clothing and footwear,-0.8,44.8,-0.04,-1.5
2026-May,03,Clothing and footwear,0.2,44.8,0.01,1.0
2026-Apr,01,Food and non-alcoholic beverages,3.0,86.6,0.26,
2026-Mar,01,Food and non-alcoholic beverages,3.7,86.6,0.32,0.7
2026-May,01,Food and non-alcoholic beverages,2.2,86.6,0.19,-1.5
2026-Apr,05,"Furniture, household equipment and maintenance",0.5,42.5,0.02,
2026-Mar,05,"Furniture, household equipment and maintenance",-0.4,42.5,-0.02,-0.9
2026-May,05,"Furniture, household equipment and maintenance",-0.1,42.5,-0.0,0.3
2026-Apr,11,Restaurants and hotels,4.4,109.5,0.48,
2026-Mar,11,Restaurants and hotels,4.0,109.5,0.44,-0.4
2026-May,11,Restaurants and hotels,4.2,109.5,0.46,0.2
2026-Apr,10,Education,5.1,27.1,0.14,
2026-Mar,10,Education,5.1,27.1,0.14,0.0
2026-May,10,Education,5.1,27.1,0.14,0.0
