division_code,month,annual_rate
01,2026-Mar,3.7
01,2026-Apr,3.0
01,2026-May,2.2
02,2026-Mar,3.3
02,2026-Apr,2.8
02,2026-May,2.4
03,2026-Mar,-0.8
03,2026-Apr,0.7
03,2026-May,0.2
04,2026-Mar,4.3
04,2026-Apr,3.0
04,2026-May,2.7
05,2026-Mar,-0.4
05,2026-Apr,0.5
05,2026-May,-0.1
06,2026-Mar,3.1
06,2026-Apr,2.4
06,2026-May,2.4
07,2026-Mar,4.7
07,2026-Apr,4.5
07,2026-May,6.8
08,2026-Mar,4.1
08,2026-Apr,4.5
08,2026-May,5.1
09,2026-Mar,2.8
09,2026-Apr,1.7
09,2026-May,1.5
10,2026-Mar,5.1
10,2026-Apr,5.1
10,2026-May,5.1
11,2026-Mar,4.0
11,2026-Apr,4.4
11,2026-May,4.2
12,2026-Mar,2.5
12,2026-Apr,2.6
12,2026-May,2.4
